rank,fold_name,model_name,image,level,suspicious_score,output_path,LabelError_PredError,LabelError_PredTrue,LabelTrue_PredError,LabelTrue_PredTrue,Mem,
272,fold_1,M23,fe22a0e0-10ab-5a51-8879-81e0e2433b22.jpg,review,"0,3148260708",outputs/oof_official_image_audit/review_image_pairs/0272_review_0.315_fe22a0e0-10ab-5a51-8879-81e0e2433b22.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
273,fold_2,M13,797dc6d5-174c-4b29-ab11-0706c92554bc.jpg,review,"0,3137780072",outputs/oof_official_image_audit/review_image_pairs/0273_review_0.314_797dc6d5-174c-4b29-ab11-0706c92554bc.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
274,fold_1,M23,32d899aa-c8b1-4553-b22f-1a61d0488441.jpg,review,"0,3135762831",outputs/oof_official_image_audit/review_image_pairs/0274_review_0.314_32d899aa-c8b1-4553-b22f-1a61d0488441.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
275,fold_3,M12,2a24f354-7339-443b-9492-922864c70c2a.jpg,review,"0,3134056732",outputs/oof_official_image_audit/review_image_pairs/0275_review_0.313_2a24f354-7339-443b-9492-922864c70c2a.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
276,fold_3,M12,8af6313b-7119-5fce-9a1b-69c785ffaa1b.jpg,review,"0,3133687896",outputs/oof_official_image_audit/review_image_pairs/0276_review_0.313_8af6313b-7119-5fce-9a1b-69c785ffaa1b.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
277,fold_2,M13,35294331-cdb3-57f3-b2a1-97d11981dea4.jpg,review,"0,3130681818",outputs/oof_official_image_audit/review_image_pairs/0277_review_0.313_35294331-cdb3-57f3-b2a1-97d11981dea4.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
284,fold_2,M13,247554cf-4d76-4a85-9734-bcf7d9b66812.jpg,review,"0,3098188789",outputs/oof_official_image_audit/review_image_pairs/0284_review_0.310_247554cf-4d76-4a85-9734-bcf7d9b66812.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
285,fold_3,M12,deb3984f-05b2-5548-9112-1b93e6c93714.jpg,review,"0,3092421941",outputs/oof_official_image_audit/review_image_pairs/0285_review_0.309_deb3984f-05b2-5548-9112-1b93e6c93714.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
287,fold_2,M13,25c0e8eb-aae7-503f-a1cb-0e75978a8d6b.jpg,review,"0,3071765576",outputs/oof_official_image_audit/review_image_pairs/0287_review_0.307_25c0e8eb-aae7-503f-a1cb-0e75978a8d6b.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
288,fold_2,M13,31a4c042-d4ba-5226-8f4a-f49a69684d78.jpg,review,"0,3063705193",outputs/oof_official_image_audit/review_image_pairs/0288_review_0.306_31a4c042-d4ba-5226-8f4a-f49a69684d78.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
289,fold_2,M13,73ae3983-d41a-47d4-97dc-0843f1125c39.jpg,review,"0,3055647293",outputs/oof_official_image_audit/review_image_pairs/0289_review_0.306_73ae3983-d41a-47d4-97dc-0843f1125c39.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
290,fold_3,M12,5ee2046f-1a0d-58b2-8997-ef1e17ba3f14.jpg,review,"0,3054467042",outputs/oof_official_image_audit/review_image_pairs/0290_review_0.305_5ee2046f-1a0d-58b2-8997-ef1e17ba3f14.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
291,fold_3,M12,5af0634d-fa6c-4af1-b7c3-51e348603014.jpg,review,"0,3048827487",outputs/oof_official_image_audit/review_image_pairs/0291_review_0.305_5af0634d-fa6c-4af1-b7c3-51e348603014.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
295,fold_1,M23,397171c5-7e0b-55b4-88a0-beb98550c0ba.jpg,review,"0,3028871004",outputs/oof_official_image_audit/review_image_pairs/0295_review_0.303_397171c5-7e0b-55b4-88a0-beb98550c0ba.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
297,fold_2,M13,88d48373-d0c2-5e23-9c8b-c21ee23b098e.jpg,review,"0,3021169521",outputs/oof_official_image_audit/review_image_pairs/0297_review_0.302_88d48373-d0c2-5e23-9c8b-c21ee23b098e.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
298,fold_1,M23,35f4140a-b8e7-47a4-97c0-60fbad0d61e4.jpg,review,"0,3018710764",outputs/oof_official_image_audit/review_image_pairs/0298_review_0.302_35f4140a-b8e7-47a4-97c0-60fbad0d61e4.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
299,fold_1,M23,a5179b76-7fd6-4d9a-a546-26b75d94d402.jpg,review,"0,3015892402",outputs/oof_official_image_audit/review_image_pairs/0299_review_0.302_a5179b76-7fd6-4d9a-a546-26b75d94d402.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
301,fold_3,M12,26cc6043-6826-48f2-9b1b-1f47cd42c7e5.jpg,review,"0,3004331767",outputs/oof_official_image_audit/review_image_pairs/0301_review_0.300_26cc6043-6826-48f2-9b1b-1f47cd42c7e5.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
305,fold_3,M12,526df174-ae15-5f8a-8102-51f64fa92ef0.jpg,review,"0,2985338263",outputs/oof_official_image_audit/review_image_pairs/0305_review_0.299_526df174-ae15-5f8a-8102-51f64fa92ef0.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
306,fold_3,M12,d5c5b67f-7d0d-485a-b00e-75fc3fcb4577.jpg,review,"0,2983989332",outputs/oof_official_image_audit/review_image_pairs/0306_review_0.298_d5c5b67f-7d0d-485a-b00e-75fc3fcb4577.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
307,fold_3,M12,12612322-1686-4d4a-9d29-c71a27a01cfa.jpg,review,"0,2980641793",outputs/oof_official_image_audit/review_image_pairs/0307_review_0.298_12612322-1686-4d4a-9d29-c71a27a01cfa.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
309,fold_1,M23,22bc6edb-5bc7-4b39-a700-1f5e906ae7fd.jpg,review,"0,2976778038",outputs/oof_official_image_audit/review_image_pairs/0309_review_0.298_22bc6edb-5bc7-4b39-a700-1f5e906ae7fd.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
314,fold_2,M13,2f3debb2-f3ea-49d2-943b-2d4cd26e5227.jpg,review,"0,2971845633",outputs/oof_official_image_audit/review_image_pairs/0314_review_0.297_2f3debb2-f3ea-49d2-943b-2d4cd26e5227.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
315,fold_3,M12,4eb2d6c1-daeb-5bb7-94f6-b89a7cb6d9d2.jpg,review,"0,2961082412",outputs/oof_official_image_audit/review_image_pairs/0315_review_0.296_4eb2d6c1-daeb-5bb7-94f6-b89a7cb6d9d2.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
316,fold_3,M12,b48ccdf7-033c-5702-89e1-bdcd55febd4b.jpg,review,"0,2948350902",outputs/oof_official_image_audit/review_image_pairs/0316_review_0.295_b48ccdf7-033c-5702-89e1-bdcd55febd4b.jpg,FALSE,TRUE,FALSE,FALSE,Bảo,
317,fold_2,M13,2876bd85-ad48-55ba-a4f4-b1dbd7c5d068.jpg,review,"0,2947994192",outputs/oof_official_image_audit/review_image_pairs/0317_review_0.295_2876bd85-ad48-55ba-a4f4-b1dbd7c5d068.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
318,fold_3,M12,6ab9b9af-b7fb-4c8b-886d-7caf6aa50fe1.jpg,review,"0,293409296",outputs/oof_official_image_audit/review_image_pairs/0318_review_0.293_6ab9b9af-b7fb-4c8b-886d-7caf6aa50fe1.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
320,fold_3,M12,318487f5-9f17-5ddc-90af-ed9086a95a17.jpg,review,"0,2927565125",outputs/oof_official_image_audit/review_image_pairs/0320_review_0.293_318487f5-9f17-5ddc-90af-ed9086a95a17.jpg,TRUE,FALSE,FALSE,FALSE,Bảo,
328,fold_2,M13,10a9e9c9-5279-496c-975c-3a9ea40b2856.jpg,review,"0,2894727244",outputs/oof_official_image_audit/review_image_pairs/0328_review_0.289_10a9e9c9-5279-496c-975c-3a9ea40b2856.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
329,fold_2,M13,842b04ad-ba37-54a2-9738-55975e33a371.jpg,review,"0,2872981396",outputs/oof_official_image_audit/review_image_pairs/0329_review_0.287_842b04ad-ba37-54a2-9738-55975e33a371.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
331,fold_3,M12,070f843b-9a08-4ecb-a22c-1f2e0780232c.jpg,review,"0,2870274954",outputs/oof_official_image_audit/review_image_pairs/0331_review_0.287_070f843b-9a08-4ecb-a22c-1f2e0780232c.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
333,fold_2,M13,1b472d64-97d3-4451-bc91-2d66c8beb2d9.jpg,review,"0,2861404563",outputs/oof_official_image_audit/review_image_pairs/0333_review_0.286_1b472d64-97d3-4451-bc91-2d66c8beb2d9.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
340,fold_1,M23,892acf2b-bd86-4717-9a13-1518f3c7a2da.jpg,review,"0,28296943",outputs/oof_official_image_audit/review_image_pairs/0340_review_0.283_892acf2b-bd86-4717-9a13-1518f3c7a2da.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
341,fold_1,M23,80e2ea7e-55ce-4279-ab78-b7fe018d230b.jpg,review,"0,2814547837",outputs/oof_official_image_audit/review_image_pairs/0341_review_0.281_80e2ea7e-55ce-4279-ab78-b7fe018d230b.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
343,fold_3,M12,c0910a61-fe08-40c9-96c0-05d86a5c2ba3.jpg,review,"0,2810215766",outputs/oof_official_image_audit/review_image_pairs/0343_review_0.281_c0910a61-fe08-40c9-96c0-05d86a5c2ba3.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
345,fold_1,M23,58e8d0b7-fb0b-5db8-a888-fe13e6530e7b.jpg,review,"0,2808951395",outputs/oof_official_image_audit/review_image_pairs/0345_review_0.281_58e8d0b7-fb0b-5db8-a888-fe13e6530e7b.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
351,fold_1,M23,213a0519-1290-570a-a040-daedc406d657.jpg,review,"0,2747191778",outputs/oof_official_image_audit/review_image_pairs/0351_review_0.275_213a0519-1290-570a-a040-daedc406d657.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
355,fold_1,M23,782c0c70-4478-44bb-8dbd-5237de9b5ae2.jpg,review,"0,2742229218",outputs/oof_official_image_audit/review_image_pairs/0355_review_0.274_782c0c70-4478-44bb-8dbd-5237de9b5ae2.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
360,fold_1,M23,207d9d97-c0d7-4d18-a36b-8078858399b8.jpg,review,"0,2729019778",outputs/oof_official_image_audit/review_image_pairs/0360_review_0.273_207d9d97-c0d7-4d18-a36b-8078858399b8.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
362,fold_1,M23,80848c7f-92ea-54e3-8150-aa95b100c62e.jpg,review,"0,2718637818",outputs/oof_official_image_audit/review_image_pairs/0362_review_0.272_80848c7f-92ea-54e3-8150-aa95b100c62e.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
363,fold_3,M12,c811ec32-0783-46f9-8521-51c5e4f6b451.jpg,review,"0,2713969135",outputs/oof_official_image_audit/review_image_pairs/0363_review_0.271_c811ec32-0783-46f9-8521-51c5e4f6b451.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
367,fold_1,M23,1f58c72c-4616-4719-a4d3-bf1c6140eb08.jpg,review,"0,269025974",outputs/oof_official_image_audit/review_image_pairs/0367_review_0.269_1f58c72c-4616-4719-a4d3-bf1c6140eb08.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
368,fold_1,M23,bbbb76c4-f7f0-564f-b273-17b704107104.jpg,review,"0,2688006154",outputs/oof_official_image_audit/review_image_pairs/0368_review_0.269_bbbb76c4-f7f0-564f-b273-17b704107104.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
375,fold_2,M13,2b4ccdbb-d157-5954-8996-da132c36017e.jpg,review,"0,265782563",outputs/oof_official_image_audit/review_image_pairs/0375_review_0.266_2b4ccdbb-d157-5954-8996-da132c36017e.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
376,fold_3,M12,53105fee-cdfb-5509-a296-7f5942338059.jpg,review,"0,2655480956",outputs/oof_official_image_audit/review_image_pairs/0376_review_0.266_53105fee-cdfb-5509-a296-7f5942338059.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
384,fold_3,M12,3ddd17f4-ab07-51f9-8ff7-72047e106efd.jpg,review,"0,2639723386",outputs/oof_official_image_audit/review_image_pairs/0384_review_0.264_3ddd17f4-ab07-51f9-8ff7-72047e106efd.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
386,fold_2,M13,91461595-47be-4569-99b7-0b0f6fc79cd9.jpg,review,"0,2635447519",outputs/oof_official_image_audit/review_image_pairs/0386_review_0.264_91461595-47be-4569-99b7-0b0f6fc79cd9.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
389,fold_3,M12,f0aa3345-b176-4bbe-b0e3-e57a5394885f.jpg,review,"0,2617045958",outputs/oof_official_image_audit/review_image_pairs/0389_review_0.262_f0aa3345-b176-4bbe-b0e3-e57a5394885f.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
393,fold_1,M23,ebb3322c-58a2-57a2-a3ee-7d6174bbb39a.jpg,review,"0,2611353141",outputs/oof_official_image_audit/review_image_pairs/0393_review_0.261_ebb3322c-58a2-57a2-a3ee-7d6174bbb39a.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
395,fold_2,M13,d391febd-0583-5627-a133-a84553678968.jpg,review,"0,2600619352",outputs/oof_official_image_audit/review_image_pairs/0395_review_0.260_d391febd-0583-5627-a133-a84553678968.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
397,fold_1,M23,ced18ec5-65fc-4fef-8ada-e021cb48efe6.jpg,review,"0,2591411171",outputs/oof_official_image_audit/review_image_pairs/0397_review_0.259_ced18ec5-65fc-4fef-8ada-e021cb48efe6.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
402,fold_2,M13,680f2f73-b769-4396-b0c2-d924e47ef46f.jpg,review,"0,2573925692",outputs/oof_official_image_audit/review_image_pairs/0402_review_0.257_680f2f73-b769-4396-b0c2-d924e47ef46f.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
404,fold_3,M12,1760a79b-084d-56c8-8e96-45429d31a99a.jpg,review,"0,2570054729",outputs/oof_official_image_audit/review_image_pairs/0404_review_0.257_1760a79b-084d-56c8-8e96-45429d31a99a.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
412,fold_2,M13,7ef06b21-934c-507d-ad8c-72482c5fad00.jpg,review,"0,2546706082",outputs/oof_official_image_audit/review_image_pairs/0412_review_0.255_7ef06b21-934c-507d-ad8c-72482c5fad00.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
415,fold_1,M23,597bcf5d-aaed-48d6-8927-c14da654213e.jpg,review,"0,2539518491",outputs/oof_official_image_audit/review_image_pairs/0415_review_0.254_597bcf5d-aaed-48d6-8927-c14da654213e.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
417,fold_1,M23,25203fea-d955-4fab-8cdd-d7bea8aa1925.jpg,review,"0,2533484701",outputs/oof_official_image_audit/review_image_pairs/0417_review_0.253_25203fea-d955-4fab-8cdd-d7bea8aa1925.jpg,TRUE,FALSE,FALSE,FALSE,Nguyên Huy,
426,fold_1,M23,7457fdaa-bcbd-544b-90f0-93874c5556c9.jpg,review,"0,2517506401",outputs/oof_official_image_audit/review_image_pairs/0426_review_0.252_7457fdaa-bcbd-544b-90f0-93874c5556c9.jpg,FALSE,TRUE,FALSE,FALSE,,
429,fold_1,M23,fbe9ffd0-be4a-54ec-a4a3-5b9e5904ff3f.jpg,review,"0,2509263541",outputs/oof_official_image_audit/review_image_pairs/0429_review_0.251_fbe9ffd0-be4a-54ec-a4a3-5b9e5904ff3f.jpg,FALSE,TRUE,FALSE,FALSE,Bbox sai,
437,fold_3,M12,19d825e4-c5b9-5262-9e76-770077dbc82a.jpg,review,"0,2475132279",outputs/oof_official_image_audit/review_image_pairs/0437_review_0.248_19d825e4-c5b9-5262-9e76-770077dbc82a.jpg,FALSE,TRUE,FALSE,FALSE,Bbox sai,
442,fold_2,M13,55411e45-5a5b-535b-a62e-fb31a8e652e3.jpg,review,"0,2469405551",outputs/oof_official_image_audit/review_image_pairs/0442_review_0.247_55411e45-5a5b-535b-a62e-fb31a8e652e3.jpg,FALSE,TRUE,FALSE,FALSE,,
445,fold_3,M12,43630810-06c6-4ab6-83a8-416c3680708e.jpg,review,"0,2459442643",outputs/oof_official_image_audit/review_image_pairs/0445_review_0.246_43630810-06c6-4ab6-83a8-416c3680708e.jpg,FALSE,TRUE,FALSE,FALSE,,
456,fold_1,M23,e1808133-425d-50ee-8461-fb18ba92a47d.jpg,review,"0,2427597818",outputs/oof_official_image_audit/review_image_pairs/0456_review_0.243_e1808133-425d-50ee-8461-fb18ba92a47d.jpg,TRUE,FALSE,FALSE,FALSE,,
458,fold_1,M23,c8261bdb-7745-43a0-8e4d-652524216972.jpg,review,"0,2412323519",outputs/oof_official_image_audit/review_image_pairs/0458_review_0.241_c8261bdb-7745-43a0-8e4d-652524216972.jpg,FALSE,TRUE,FALSE,FALSE,,
459,fold_1,M23,672756e1-b0ea-4168-b10c-cefbcb0924cc.jpg,review,"0,2410774909",outputs/oof_official_image_audit/review_image_pairs/0459_review_0.241_672756e1-b0ea-4168-b10c-cefbcb0924cc.jpg,FALSE,TRUE,FALSE,FALSE,Bbox sai,
472,fold_1,M23,06b05595-caa6-41ed-82b1-1a46947c00e1.jpg,review,"0,2368810536",outputs/oof_official_image_audit/review_image_pairs/0472_review_0.237_06b05595-caa6-41ed-82b1-1a46947c00e1.jpg,FALSE,TRUE,FALSE,FALSE,Bbox sai,
480,fold_1,M23,b4f54978-74fb-4de5-822f-565e8b0c5546.jpg,review,"0,2354169279",outputs/oof_official_image_audit/review_image_pairs/0480_review_0.235_b4f54978-74fb-4de5-822f-565e8b0c5546.jpg,TRUE,FALSE,FALSE,FALSE,,
487,fold_3,M12,6b8844fe-fee8-4f2b-9213-71830044d788.jpg,review,"0,2326056418",outputs/oof_official_image_audit/review_image_pairs/0487_review_0.233_6b8844fe-fee8-4f2b-9213-71830044d788.jpg,TRUE,FALSE,FALSE,FALSE,,
490,fold_1,M23,66add2ee-c743-4cea-b2c9-f2f3326f42da.jpg,review,"0,2323816057",outputs/oof_official_image_audit/review_image_pairs/0490_review_0.232_66add2ee-c743-4cea-b2c9-f2f3326f42da.jpg,FALSE,TRUE,FALSE,FALSE,,
493,fold_3,M12,0ee30f12-61cf-58f4-a078-d5464c1f29d5.jpg,review,"0,2317137097",outputs/oof_official_image_audit/review_image_pairs/0493_review_0.232_0ee30f12-61cf-58f4-a078-d5464c1f29d5.jpg,FALSE,TRUE,FALSE,FALSE,,
507,fold_2,M13,b8862a20-1f70-4281-a3fe-97461bbe0385.jpg,review,"0,229044152",outputs/oof_official_image_audit/review_image_pairs/0507_review_0.229_b8862a20-1f70-4281-a3fe-97461bbe0385.jpg,FALSE,TRUE,FALSE,FALSE,,
511,fold_1,M23,5e01477b-61e8-5309-b95c-851ae6c1649e.jpg,review,"0,2286814109",outputs/oof_official_image_audit/review_image_pairs/0511_review_0.229_5e01477b-61e8-5309-b95c-851ae6c1649e.jpg,FALSE,TRUE,FALSE,FALSE,,
514,fold_3,M12,2522fb54-aadd-4bd3-8d52-ccbf9bdd6faa.jpg,review,"0,2283406031",outputs/oof_official_image_audit/review_image_pairs/0514_review_0.228_2522fb54-aadd-4bd3-8d52-ccbf9bdd6faa.jpg,FALSE,TRUE,FALSE,FALSE,,
523,fold_3,M12,22e1bfc1-a677-5c3c-8487-c92aa2d8da94.jpg,review,"0,224994807",outputs/oof_official_image_audit/review_image_pairs/0523_review_0.225_22e1bfc1-a677-5c3c-8487-c92aa2d8da94.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
525,fold_2,M13,ff922fce-ae30-4fd9-a756-a07ed48db66c.jpg,review,"0,2243658735",outputs/oof_official_image_audit/review_image_pairs/0525_review_0.224_ff922fce-ae30-4fd9-a756-a07ed48db66c.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
529,fold_3,M12,28e7bc6a-9653-440c-aa72-861ef9a4c20a.jpg,review,"0,2237617965",outputs/oof_official_image_audit/review_image_pairs/0529_review_0.224_28e7bc6a-9653-440c-aa72-861ef9a4c20a.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
530,fold_2,M13,1dd9face-9e0d-4dac-9a3a-7e5302e2d39c.jpg,review,"0,2236736984",outputs/oof_official_image_audit/review_image_pairs/0530_review_0.224_1dd9face-9e0d-4dac-9a3a-7e5302e2d39c.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
531,fold_3,M12,099d0420-c2fd-570d-b511-8d0aa2bbb49a.jpg,review,"0,2236243294",outputs/oof_official_image_audit/review_image_pairs/0531_review_0.224_099d0420-c2fd-570d-b511-8d0aa2bbb49a.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
532,fold_1,M23,76df6cd2-dd5c-4ade-9945-c81cc18880ba.jpg,review,"0,2235565099",outputs/oof_official_image_audit/review_image_pairs/0532_review_0.224_76df6cd2-dd5c-4ade-9945-c81cc18880ba.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
533,fold_1,M23,18ff29fc-e921-4703-bdb5-da07f8ed6f0d.jpg,review,"0,2233399865",outputs/oof_official_image_audit/review_image_pairs/0533_review_0.223_18ff29fc-e921-4703-bdb5-da07f8ed6f0d.jpg,FALSE,TRUE,FALSE,FALSE,Hữu,
534,fold_3,M12,2db9cd3d-463b-4c01-a3bb-fbd173e0318b.jpg,review,"0,2233368298",outputs/oof_official_image_audit/review_image_pairs/0534_review_0.223_2db9cd3d-463b-4c01-a3bb-fbd173e0318b.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
535,fold_2,M13,fe0fbe34-e5ba-516e-8d64-78a334f880b3.jpg,review,"0,2232794709",outputs/oof_official_image_audit/review_image_pairs/0535_review_0.223_fe0fbe34-e5ba-516e-8d64-78a334f880b3.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
541,fold_3,M12,a6d976b0-60c3-591d-b5ab-45fb437ebcd1.jpg,review,"0,2223917869",outputs/oof_official_image_audit/review_image_pairs/0541_review_0.222_a6d976b0-60c3-591d-b5ab-45fb437ebcd1.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
545,fold_1,M23,e7b4c1da-77f6-48e5-95f1-155609a59f5a.jpg,review,"0,2205713974",outputs/oof_official_image_audit/review_image_pairs/0545_review_0.221_e7b4c1da-77f6-48e5-95f1-155609a59f5a.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
546,fold_2,M13,978f4b22-f17e-5688-ae1d-ba7c5f9bef98.jpg,review,"0,2202537238",outputs/oof_official_image_audit/review_image_pairs/0546_review_0.220_978f4b22-f17e-5688-ae1d-ba7c5f9bef98.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
547,fold_1,M23,e3fc4c3c-b8f8-4cc4-8f25-23c187583ed6.jpg,review,"0,2198693969",outputs/oof_official_image_audit/review_image_pairs/0547_review_0.220_e3fc4c3c-b8f8-4cc4-8f25-23c187583ed6.jpg,FALSE,TRUE,FALSE,FALSE,Hữu,
548,fold_1,M23,347d94f6-3a45-4cfc-98b3-3b8f15abfa01.jpg,review,"0,2192319648",outputs/oof_official_image_audit/review_image_pairs/0548_review_0.219_347d94f6-3a45-4cfc-98b3-3b8f15abfa01.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
549,fold_3,M12,05ec01bf-0229-54d4-8805-ec082c520f65.jpg,review,"0,2191178058",outputs/oof_official_image_audit/review_image_pairs/0549_review_0.219_05ec01bf-0229-54d4-8805-ec082c520f65.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
551,fold_3,M12,65bc7b72-5152-5925-a37b-4a1bf8a86e4f.jpg,review,"0,2186791246",outputs/oof_official_image_audit/review_image_pairs/0551_review_0.219_65bc7b72-5152-5925-a37b-4a1bf8a86e4f.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
553,fold_2,M13,11981793-f19f-45b7-a249-b1acc79bbb9f.jpg,review,"0,217692616",outputs/oof_official_image_audit/review_image_pairs/0553_review_0.218_11981793-f19f-45b7-a249-b1acc79bbb9f.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
554,fold_2,M13,fbabbd7a-78c2-53a0-ac39-df64a9e432c4.jpg,review,"0,2176561881",outputs/oof_official_image_audit/review_image_pairs/0554_review_0.218_fbabbd7a-78c2-53a0-ac39-df64a9e432c4.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
556,fold_3,M12,14957515-f0ac-5b3e-b2be-4ea933bea419.jpg,review,"0,216992588",outputs/oof_official_image_audit/review_image_pairs/0556_review_0.217_14957515-f0ac-5b3e-b2be-4ea933bea419.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
558,fold_3,M12,0383d0f3-d7fb-4a88-aa04-5ce9aa47010b.jpg,review,"0,2165523378",outputs/oof_official_image_audit/review_image_pairs/0558_review_0.217_0383d0f3-d7fb-4a88-aa04-5ce9aa47010b.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
565,fold_1,M23,bff0d665-13ec-539b-850a-63a44068f639.jpg,review,"0,2142571629",outputs/oof_official_image_audit/review_image_pairs/0565_review_0.214_bff0d665-13ec-539b-850a-63a44068f639.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
566,fold_3,M12,9d5b91ab-61d1-5e75-92dc-2a004fcb4612.jpg,review,"0,2142370824",outputs/oof_official_image_audit/review_image_pairs/0566_review_0.214_9d5b91ab-61d1-5e75-92dc-2a004fcb4612.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
567,fold_3,M12,65112c52-2d38-4d43-a00b-9de1eb1e123b.jpg,review,"0,2142067224",outputs/oof_official_image_audit/review_image_pairs/0567_review_0.214_65112c52-2d38-4d43-a00b-9de1eb1e123b.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
568,fold_3,M12,9a9e7a7c-9c9a-4506-85ee-1c00c8263a45.jpg,review,"0,2140775654",outputs/oof_official_image_audit/review_image_pairs/0568_review_0.214_9a9e7a7c-9c9a-4506-85ee-1c00c8263a45.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
569,fold_2,M13,089cba56-17f1-4cd8-bfb7-ed7b591e2aae.jpg,review,"0,213787136",outputs/oof_official_image_audit/review_image_pairs/0569_review_0.214_089cba56-17f1-4cd8-bfb7-ed7b591e2aae.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
571,fold_3,M12,466e64b2-e10c-43f8-aba4-45d744a9f004.jpg,review,"0,213693009",outputs/oof_official_image_audit/review_image_pairs/0571_review_0.214_466e64b2-e10c-43f8-aba4-45d744a9f004.jpg,TRUE,FALSE,FALSE,FALSE,Hữu,
572,fold_1,M23,e89c90ed-759f-5735-83f7-b9e983698a0a.jpg,review,"0,2133806652",outputs/oof_official_image_audit/review_image_pairs/0572_review_0.213_e89c90ed-759f-5735-83f7-b9e983698a0a.jpg,TRUE,FALSE,TRUE,FALSE,Hữu,
